NPS Traffic Count Query Builder,,,,,,
,,,,,,
Park,Unit Code,Park Type,Region,Traffic Counter,Year,Traffic Count
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT BOX CANYON,2009,"62,861"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT DAM ROAD,2000,"55,875"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT DAM ROAD,2001,"52,833"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT DAM ROAD,2002,"69,363"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT DAM ROAD,2003,"34,743"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT DAM ROAD,2004,0
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT DAM ROAD,2005,0
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT DAM ROAD,2006,0
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT DAM ROAD,2007,0
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT DAM ROAD,2008,0
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT DAM ROAD,2009,0
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT DAM VC,2000,0
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT DAM VC,2001,0
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT DAM VC,2002,0
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT DAM VC,2003,"4,497"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT DAM VC,2004,"16,461"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT DAM VC,2005,"20,037"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT DAM VC,2006,"22,457"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT DAM VC,2007,"20,373"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT DAM VC,2008,"24,150"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT DAM VC,2009,"18,279"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT DIABLO EAST,2000,"175,403"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT DIABLO EAST,2001,"161,194"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT DIABLO EAST,2002,"150,899"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT DIABLO EAST,2003,"53,650"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT DIABLO EAST,2004,"74,318"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT DIABLO EAST,2005,"80,441"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT DIABLO EAST,2006,"117,303"
