,Park Name,Site_Full_Name,Park_Code
1293,"Martin Luther King, Jr. NHP","Martin Luther King, Jr. National Historical Park",MALU
1296,Martin Van Buren NHS,Martin Van Buren National Historic Site,MAVA
6184,Mary McLeod Bethune Council House NHS,Mary McLeod Bethune Council House National Historic Site,MAMC
13217,Medgar and Myrlie Evers Home NM,Medgar and Myrlie Evers Home National Monument,MEMY
1300,Mesa Verde NP,Mesa Verde National Park,MEVE
13242,Mill Springs Battlefield NM,Mill Springs Battlefield National Monument,MISP
13245,Minidoka NHS,Minidoka National Historic Site,MIIN
1307,Minute Man NHP,Minute Man National Historical Park,MIMA
6233,Minuteman Missile NHS,Minuteman Missile National Historic Site,MIMI
13294,Mississippi NRRA,Mississippi National River & Recreation Area,MISS
6235,Missouri NRR,Missouri National Recreational River,MNRR
6237,Mojave NPRES,Mojave National Preserve,MOJA
6246,Monocacy NB,Monocacy National Battlefield,MONO
1314,Montezuma Castle NM,Montezuma Castle National Monument,MOCA
1321,Moores Creek NB,Moores Creek National Battlefield,MOCR
1328,Morristown NHP,Morristown National Historical Park,MORR
1335,Mount Rainier NP,Mount Rainier National Park,MORA
1342,Mount Rushmore NMEM,Mount Rushmore National Memorial,MORU
1349,Muir Woods NM,Muir Woods National Monument,MUWO
6381,Natchez NHP,Natchez National Historical Park,NATC
1356,Natchez Trace PKWY,Natchez Trace Parkway,NATR
6415,National Capital Parks Central,,NAMA
6424,National Capital Parks East,National Capital Parks-East,NACE
6433,National Park of American Samoa,National Park of American Samoa,NPSA
1363,Natural Bridges NM,Natural Bridges National Monument,NABR
1370,Navajo NM,Navajo National Monument,NAVA
6475,New Bedford Whaling NHP,New Bedford Whaling National Historical Park,NEBE
6483,New Orleans Jazz NHP,New Orleans Jazz National Historical Park,JAZZ
1377,New River Gorge NP & PRES,New River Gorge National Park & Preserve,NERI
1379,Nez Perce NHP,Nez Perce National Historical Park,NEPE
6529,Nicodemus NHS,Nicodemus National Historic Site,NICO
1386,Ninety Six NHS,Ninety Six National Historic Site,NISI
6557,Niobrara NSR,Niobrara National Scenic River,NIOB
1387,Noatak NPRES,Noatak National Preserve,NOAT
1391,North Cascades NP,North Cascades National Park,NOCA
6599,Obed W&SR,Obed Wild & Scenic River,OBED
1398,Ocmulgee Mounds NHP,Ocmulgee Mounds National Historical Park,OCMU
1405,Olympic NP,Olympic National Park,OLYM
1412,Oregon Caves NM & PRES,Oregon Caves National Monument & Preserve,ORCA
1419,Organ Pipe Cactus NM,Organ Pipe Cactus National Monument,ORPI
1426,Ozark NSR,Oxon Cove Park & Oxon Hill Farm,OXHI
1433,Padre Island NS,Padre Island National Seashore,PAIS
6738,Palo Alto Battlefield NHP,Palo Alto Battlefield National Historical Park,PAAL
13969,Paterson Great Falls NHP,Paterson Great Falls National Historical Park,PAGR
1440,Pea Ridge NMP,Pea Ridge National Military Park,PERI
1447,Pearl Harbor NMEM,Pearl Harbor National Memorial,VALR
1452,Pecos NHP,Pecos National Historical Park,PECO
6801,Pennsylvania Avenue NHS,Pennsylvania Avenue,PAAV
1459,Perry's Victory & Intl. Peace MEM,Perry's Victory & International Peace Memorial,PEVI
1466,Petersburg NB,Petersburg National Battlefield,PETE
1473,Petrified Forest NP,Petrified Forest National Park,PEFO
6881,Petroglyph NM,Petroglyph National Monument,PETR
1480,Pictured Rocks NL,Pictured Rocks National Lakeshore,PIRO
1487,Pinnacles NP,Pinnacles National Park,PINN
1494,Pipe Spring NM,Pipe Spring National Monument,PISP
1501,Pipestone NM,Pipestone National Monument,PIPE
1508,Piscataway Park,Piscataway Park,PISC
1515,Point Reyes NS,Point Reyes National Seashore,PORE
14259,Port Chicago Naval Magazine NMEM,Port Chicago Naval Magazine National Memorial,POCH
14275,President W.J. Clinton Birthplace Home NHS,President William Jefferson Clinton Birthplace Home National Historic Site,WICL
7015,President's Park,The White House and President's Park,WHHO
1522,Prince William Forest Park,Prince William Forest Park,PRWI
1529,Pu'uhonua o Honaunau NHP,Puʻuhonua o Hōnaunau National Historical Park,PUHO
1536,Pu'ukohola Heiau NHS,Puʻukoholā Heiau National Historic Site,PUHE
14330,Pullman NHP,Pullman National Historical Park,PULL
1543,Rainbow Bridge NM,Rainbow Bridge National Monument,RABR
14393,Reconstruction Era NHP,Reconstruction Era National Historical Park,REER
1550,Redwood NP,Redwood National and State Parks,REDW
1557,Richmond NBP,Richmond National Battlefield Park,RICH
1564,Rio Grande W&SR,Rio Grande Wild & Scenic River,RIGR
14457,River Raisin NBP,River Raisin National Battlefield Park,RIRA
