,,,,,,,,,,,
Annual Visitation Report by Years: 1965 to 1985,,,,,,,,,,,
,,,,,,,,,,,
,"This report will not correctly export to CSV. Please export to Excel, Word, or PDF if you wish to save this report.",,,,,,,,,,
,,,,,,,,,,,
,,Recreational Visits,,,,,,,,,
,Park Name,1979,1980,1981,1982,1983,1984,1985,Average,,
,George Washington MEM PKWY,"4,677,978","6,266,121","8,555,905","9,216,441","8,569,579","8,246,006","8,780,684","7,758,959",,
,Gettysburg NMP,"994,035","1,096,364","1,239,647","1,151,141","1,198,949","1,212,226","1,321,130","1,173,356",,
,Gila Cliff Dwellings NM,"31,933","32,734","36,417","37,902","37,717","35,013","35,739","35,351",,
,Glacier Bay NP & PRES,"91,032","95,005","85,071","90,354","92,057","108,297","130,943","98,966",,
,Glacier NP,"1,446,086","1,474,578","1,786,523","1,666,114","2,203,847","1,946,703","1,603,011","1,732,409",,
,Glen Canyon NRA,"1,655,995","1,571,491","1,733,529","1,733,226","1,873,031","1,971,102","2,078,866","1,802,463",,
,Golden Gate NRA,"11,321,127","18,421,773","20,279,789","19,897,389","17,604,551","16,731,706","18,355,365","17,515,957",,
,Golden Spike NHP,"46,657","44,587","48,167","45,163","49,571","34,093","46,387","44,946",,
,Grand Canyon NP,"2,131,716","2,304,973","2,472,270","2,293,127","2,248,082","2,173,584","2,711,529","2,333,612",,
,Grand Portage NM,"36,931","43,229","41,404","36,068","36,261","45,669","46,488","40,864",,
,Grand Teton NP,"2,446,171","2,555,627","2,643,644","2,534,029","1,532,035","1,360,898","1,334,483","2,058,127",,
,Grant-Kohrs Ranch NHS,"21,325","19,449","23,559","27,790","34,292","23,766","23,166","24,764",,
,Great Basin NP,"29,947","33,383","33,367","32,264","30,335","37,676","36,343","33,331",,
,Great Sand Dunes NP & PRES,"162,546","142,427","172,505","175,273","150,177","141,833","182,713","161,068",,
,Great Smoky Mountains NP,"8,019,788","8,440,953","8,312,884","8,177,869","8,435,475","8,508,390","9,319,290","8,459,236",,
,Greenbelt Park,"250,595","283,365","231,632","277,869","217,141","261,142","332,849","264,942",,
,Guadalupe Mountains NP,"110,478","113,825","142,641","140,620","142,736","151,862","147,758","135,703",,
,Guilford Courthouse NMP,"161,485","156,754","220,944","219,540","161,504","204,413","179,278","186,274",,
,Gulf Islands NS,"2,965,041","2,507,507","3,316,477","3,507,438","4,060,386","5,803,384","9,880,814","4,577,292",,
,Haleakala NP,"673,955","560,238","631,684","771,762","864,289","1,003,821","1,194,651","814,343",,
,Hamilton Grange NMEM,371,0,0,0,"2,653","9,163","18,956","4,449",,
,Hampton NHS,"33,332","60,700","49,729","80,111","83,064","82,742","69,970","65,664",,
,Harpers Ferry NHP,"437,448","549,997","589,288","682,386","600,823","673,944","566,661","585,792",,
,Harry S Truman NHS,,,,,,"100,165","114,686","107,426",,
,Hawaii Volcanoes NP,"1,632,589","1,692,338","1,931,852","1,995,397","2,247,974","2,008,608","816,652","1,760,773",,
,Herbert Hoover NHS,"205,028","212,702","256,910","254,334","242,562","226,429","207,845","229,401",,
,Home of Franklin D. Roosevelt NHS,"266,809","316,535","272,129","268,269","212,494","205,405","214,011","250,807",,
,Homestead NHP,"18,084","16,278","16,421","18,971","22,608","21,849","21,268","19,354",,
