,Park_Code,Visitors,Gross Area Acres,State Count,Desig Code,CEIR_Numeric
210,JOFI,14782.468085106382,0.09,1,6,1
211,JOFL,118613.89361702128,177.76,1,12,1
212,JOMU,33466.914893617024,388.5,1,6,11
213,JOTR,1513777.7234042552,795155.85,1,17,11
214,KAHO,121578.4,1163.05,1,8,4
215,KALA,42545.575,10778.88,1,8,4
216,KATM,39184.51063829787,418698.8,1,18,4
217,KATM,39184.51063829787,3674529.33,1,18,4
218,KAWW,11580.55,87564.27,1,14,1
219,KEAQ,1352338.0212765958,2935.1,1,34,8
220,KEFJ,216995.25531914894,669650.05,1,17,4
221,KEMO,9889.25,1870.0,1,5,8
222,KIMO,243541.27659574468,3945.29,1,13,8
223,KLGO,73487.65957446808,12996.49,1,8,4
224,KLSE,574535.3829787234,12996.49,1,8,3
225,KNRI,16952.063829787236,1751.0,1,6,2
226,KOVA,6066.872340425532,1750716.16,1,17,4
227,KOWA,2439515.65,1.56,1,34,8
228,LABE,111344.85106382979,46692.42,1,14,11
229,LACL,10951.255319148937,1410293.68,1,18,4
230,LACL,10951.255319148937,2619816.49,1,18,4
231,LAKE,7500626.085106383,1495855.53,2,21,0
232,LAMR,1279637.0,44977.63,1,21,7
233,LARO,1226968.574468085,100390.31,1,21,3
234,LAVO,420819.27659574465,106589.02,1,17,11
235,LECL,217012.8510638298,3409.28,16,7,0
236,LEWI,158961.5744680851,199.96,2,8,3
237,LIBI,282308.27659574465,765.34,1,14,2
238,LIBO,351397.57446808513,12.24,1,12,6
239,LINC,4418627.893617021,7.29,1,34,8
240,LIRI,231431.0,15293.88,1,20,8
241,LONG,30760.40425531915,1.98,1,6,1
242,LOWE,517532.3617021277,138.72,1,8,1
243,LYBA,444363.93617021275,17.0,1,34,8
244,LYJO,160200.3829787234,1571.75,1,8,7
245,MABI,29137.575,643.07,1,8,1
246,MACA,1268216.4680851065,72041.73,1,17,6
247,MALU,667307.9361702128,39.17,1,8,8
248,MAMC,5474.55,0.07,1,6,8
249,MANA,686062.0,5086.87,1,5,8
250,MANZ,54634.9,813.81,1,6,11
251,MAPR,29981.5,113.61,3,8,0
252,MAVA,14699.234042553191,284.93,1,6,1
253,MAWA,6818.531914893617,1.29,1,6,8
254,MEMY,10226.55,0.74,1,14,7
255,MEVE,562986.1063829787,52485.17,1,17,9
256,MIIN,7813.1,396.3,2,6,3
257,MIMA,1007763.4468085107,1027.76,1,8,1
258,MIMI,44032.0,43.8,1,6,2
259,MISP,1412.8,1454.23,1,14,6
260,MISS,175875.0,53775.0,1,25,10
261,MLKM,2278136.55,2.74,1,34,8
262,MNRR,77149.875,48456.55,2,22,2
263,MOCA,601979.4042553192,1015.52,1,14,9
264,MOCR,60493.51063829787,87.75,1,4,8
265,MOJA,434062.45,1549966.76,1,20,11
266,MONO,45130.35,1646.87,1,4,8
267,MORA,1314261.8936170214,236381.64,1,17,3
268,MORR,419307.78723404254,1710.72,1,8,1
269,MORU,1949945.914893617,1278.45,1,12,2
270,MUWO,1068099.7872340425,553.55,1,14,11
271,NABR,95486.08510638298,7636.49,1,14,9
272,NACE,938367.7,8517.28,1,34,8
273,NAMA,1234767.45,155.84,1,34,8
274,NATC,144289.825,122.22,1,8,7
275,NATR,7321651.659574468,52380.46,3,32,0
276,NAVA,65177.914893617024,360.0,1,14,9
277,NEBE,142673.8,34.0,1,8,1
278,NEPE,232896.8510638298,4564.93,4,8,0
279,NERI,962065.340425532,72390.91,1,18,6
280,NICO,8437.4,5.61,1,6,7
281,NIOB,39109.475,29088.57,1,26,2
282,NISI,50162.44680851064,1021.94,1,6,8
283,NOAT,7582.936170212766,6587071.39,1,20,4
284,NOCA,238726.9842519685,61939.15,1,17,3
285,NOCA,238726.9842519685,504780.94,1,17,3
286,NOCA,238726.9842519685,117574.59,1,17,3
287,NOCA,238726.9842519685,61939.15,1,17,3
288,NOCA,238726.9842519685,504780.94,1,17,3
289,NOCA,238726.9842519685,117574.59,1,17,3
290,NOCA,238726.9842519685,61939.15,1,17,3
291,NOCA,238726.9842519685,504780.94,1,17,3
292,NOCA,238726.9842519685,117574.59,1,17,3
293,NPSA,9123.875,8256.67,1,34,5
294,OBED,197703.5,5489.85,1,35,6
295,OCMU,128146.9574468085,3444.32,1,8,8
296,OLYM,3015807.6808510637,923045.8,1,17,3
297,ORCA,87384.10638297872,4554.03,1,15,3
298,ORPI,233151.914893617,330688.86,1,14,9
299,OXHI,1429792.5531914893,80784.3,1,34,8
300,PAAL,42871.025,3426.87,1,8,7
301,PAAV,181618.125,17.61,1,34,8
302,PAGR,124359.6,51.34,1,8,1
303,PAIS,655021.085106383,130434.27,1,29,7
304,PECO,40441.34042553192,6885.87,1,8,9
305,PEFO,686231.5319148937,221390.21,1,17,9
306,PERI,98478.12765957447,4440.82,1,13,7
307,PETE,272122.93617021275,9598.67,1,4,8
308,PETR,127694.025,7204.43,1,14,9
309,PEVI,143073.1914893617,25.38,1,2,6
310,PINN,203794.48936170212,26685.73,1,17,11
311,PIPE,93933.10638297872,297.08,1,14,10
312,PIRO,572763.1063829787,73235.97,1,11,10
313,PISC,184792.8510638298,4620.06,1,31,8
314,PISP,42590.63829787234,40.0,1,14,9
315,POCH,658.05,5.0,1,12,11
316,PORE,2206932.8936170214,71026.38,1,29,11
317,PRWI,314808.7021276596,16062.92,1,31,8
318,PUHE,71920.14893617021,86.24,1,6,4
319,PUHO,418500.91489361704,419.8,1,8,4
320,PULL,4177.3,203.48,1,8,6
321,RABR,141654.085106383,160.0,1,14,9
322,REDW,464188.829787234,139090.97,1,30,11
323,REER,4431.9,16.08,1,8,8
324,RICH,195078.46808510637,8144.28,1,5,8
325,RIGR,533.2553191489362,13123.39,1,35,7
326,RIRA,132963.4,42.18,1,5,10
327,ROCR,1993514.6382978724,1754.7,1,31,8
328,ROMO,3159566.255319149,265917.74,1,17,9
329,RORI,27072.15,145.19,1,8,11
330,ROWI,43278.31914893617,4.56,1,12,1
331,RUCA,23100.425531914894,310.45,1,14,8
332,SAAN,928319.5531914893,990.28,1,8,7
333,SACN,502286.3617021277,25276.45,2,27,10
334,SACN,502286.3617021277,68738.95,2,27,10
335,SACR,7748.5,6.5,1,1,1
336,SAFR,3429352.575,49.86,1,8,11
337,SAGA,33501.44680851064,190.75,1,8,1
338,SAGU,732448.2765957447,92799.73,1,17,9
339,SAHI,86748.48936170213,83.02,1,6,1
340,SAIR,27404.042553191488,8.51,1,6,1
341,SAJH,266304.2340425532,2145.56,1,8,3
342,SAJU,1392637.2978723405,75.13,1,6,5
343,SAMA,606225.2978723404,9.02,1,8,1
344,SAMO,521845.829787234,153121.09,1,21,11
345,SAND,4366.85,12583.34,1,6,9
346,SAPA,10292.125,6.13,1,6,1
347,SAPU,35015.97872340425,1071.42,1,14,9
348,SARA,119002.76595744681,3607.59,1,8,1
349,SARI,6817.95,989.42,1,9,5
350,SCBL,143409.72340425532,3004.73,1,14,2
351,SEKI,852030.8936170213,461901.37,1,19,11
352,SEKI,852030.8936170213,404062.63,1,19,11
353,SEKI,852030.8936170213,461901.37,1,19,11
354,SEKI,852030.8936170213,404062.63,1,19,11
355,SHEN,1527528.680851064,200454.01,1,17,8
356,SHIL,357866.7021276596,9319.16,2,13,0
357,SITK,185117.7659574468,116.29,1,8,4
358,SLBE,1236435.829787234,71318.57,1,11,10
359,SPRA,17784.23404255319,3.23,1,14,6
360,STEA,99640.625,62.48,1,6,1
361,STGE,2020.9,17.47,1,8,6
362,STLI,3343341.0425531915,58.38,1,14,1
363,STON,389613.45,7.7,1,14,1
364,STRI,228477.55319148937,709.49,1,4,6
365,SUCR,258142.29787234042,3137.71,1,14,9
366,TAPR,16401.8,10882.67,1,20,7
367,THIS,116080.9574468085,88.5,1,34,8
368,THJE,2000021.1489361702,18.36,1,34,8
369,THKO,4548.212765957447,0.02,1,12,1
370,THRB,15783.297872340425,0.11,1,6,1
371,THRI,21024.787234042553,1.18,1,6,1
372,THRO,540624.5744680851,70446.89,1,17,2
373,THST,4625.175,328.25,1,6,8
374,TICA,111865.74468085106,250.0,1,14,9
375,TILL,363.8,5.7,2,14,0
376,TIMU,426472.8735632184,138.39,1,0,8
377,TIMU,426472.8735632184,46263.07,1,0,8
378,TIMU,426472.8735632184,138.39,1,0,8
379,TIMU,426472.8735632184,46263.07,1,0,8
380,TONT,58035.63829787234,1120.0,1,14,9
381,TUAI,14219.125,89.68,1,6,8
382,TUIN,119240.93617021276,57.92,1,6,8
383,TULE,570.45,37.39,1,14,11
384,TUMA,48961.53191489362,360.32,1,8,9
385,TUSK,11607.8,22650.0,1,14,11
386,TUZI,104319.87234042553,811.89,1,14,9
387,ULSG,24811.025,9.6,1,6,6
388,UPDE,249284.17021276595,74999.56,2,33,1
389,VAFO,2174784.255319149,3468.54,1,8,1
390,VALL,20695.15,89831.84,1,20,9
391,VALR,1377300.1489361702,21.64,1,12,4
392,VAMA,386838.3617021277,211.65,1,6,1
393,VICK,709184.5957446808,3048.27,2,13,7
394,VIIS,549972.7446808511,15041.03,1,17,5
395,VIVE,3252930.5531914895,2.18,1,34,8
396,VOYA,221457.95744680852,218223.25,1,17,10
397,WABA,7615.325,315.2,1,6,7
398,WACA,129544.0,3200.61,1,14,9
399,WACO,46395.65,107.23,1,14,7
400,WAMO,659640.8085106383,106.01,1,34,8
401,WAPA,174707.8510638298,2030.3,1,8,5
402,WEFA,18384.725,74.2,1,8,1
403,WHHO,747712.2528735632,18.07,1,34,8
404,WHHO,747712.2528735632,18.07,1,34,8
405,WHIS,965737.2765957447,42503.25,1,21,11
406,WHMI,70267.14893617021,138.53,1,6,3
407,WHSA,552175.8297872341,146344.31,1,17,9
408,WICA,611387.0212765958,33970.84,1,17,2
409,WICL,6290.75,0.68,1,6,7
410,WICR,195024.68085106384,2446.75,1,4,6
411,WIHO,13989.36170212766,3.64,1,6,6
412,WORI,24615.68085106383,7.44,1,8,1
413,WOTR,487603.3617021277,130.28,1,34,8
414,WRBR,441226.6595744681,428.44,1,12,8
415,WRST,47457.17021276596,4852644.89,1,18,4
416,WRST,47457.17021276596,8323146.48,1,18,4
417,WUPA,219036.6595744681,35401.83,1,14,9
418,WWII,2376994.45,8.25,1,34,8
419,WWIM,221892.3,1.39,1,34,8
420,YELL,3168128.085106383,2219790.71,3,17,0
421,YOSE,3491685.8936170214,761747.5,1,17,11
422,YUCH,2795.1063829787236,2526512.44,1,20,4
423,ZION,2745701.9787234045,147242.66,1,17,9
