,Code_Year,Traffic Count,Traffic Count Scaled,trf_annual_chg,trf_annual_chg_pct,Designation,Gross Area Acres,Region,cei_pct_area,RONI,Traffic Trend Cat,Traffic Trend Bins,Traffic Trend Chg,Traffic Trend UpDn,Traffic Trend SigChg,RONI Event,RONI Intensity,RONI Desc,CEI Cat,GAA Cat,Desig Code,Region Code,Vis Trend Code,RONI Event Code,RONI Int Code,CEI Cat Code,GAA Cat Code
60,ACAD-2019,475397.0,0.013607747477083654,-7312.0,-0.015147842696117122,National Park,49076.65,Northeast,0.3968,0.6,Minimal Change,0,0,0,0,El Niño,Weak,Weak El Niño,Increased,Very Large,13,1,2,0,4,1,5
61,ACAD-2020,393500.0,0.011263530548641277,-81897.0,-0.17227075475865433,National Park,49076.65,Northeast,0.4376,0.1,Decrease,-1,1,0,0,Neutral,Neutral,Neutral,Extreme,Very Large,13,1,0,2,1,0,5
62,ACAD-2021,597569.0,0.017104794628770063,204069.0,0.5185997458703939,National Park,49076.65,Northeast,0.547,-1.2,Increase,1,1,1,0,La Niña,Moderate,Moderate La Niña,Extreme,Very Large,13,1,1,1,0,0,5
63,ACAD-2022,565877.0,0.016197643904125744,-31692.0,-0.05303487965406505,National Park,49076.65,Northeast,0.2064,-1.2,Minimal Change,0,0,0,0,La Niña,Moderate,Moderate La Niña,Increased,Very Large,13,1,2,1,0,1,5
64,ACAD-2023,558146.0,0.01597635202440136,-7731.0,-0.01366197954679197,National Park,49076.65,Northeast,0.6038,-0.8,Minimal Change,0,0,0,0,La Niña,Weak,Weak La Niña,Extreme,Very Large,13,1,2,1,4,0,5
65,ACAD-2024,568261.0,0.016265883438631362,10115.0,0.018122498414393368,National Park,49076.65,Northeast,0.5454,1.2,Minimal Change,0,0,1,0,El Niño,Moderate,Moderate El Niño,Extreme,Very Large,13,1,2,0,0,0,5
66,ACAD-2025,594835.0,0.017026536706228803,26574.0,0.04676372300756167,National Park,49076.65,Northeast,0.1524,-1.1,Minimal Change,0,0,1,0,La Niña,Moderate,Moderate La Niña,Nominal,Very Large,13,1,2,1,0,2,5
67,ALPO-1994,58030.0,0.0016610487363091571,-17376.0,-0.23043259157096252,National Historic Site,1284.27,Northeast,0.1168,0.3,Decrease,-1,1,0,0,Neutral,Neutral,Neutral,Nominal,Large,4,1,0,2,1,2,1
68,ALPO-1995,60759.0,0.0017391635390213351,2729.0,0.04702739962088575,National Historic Site,1284.27,Northeast,0.064,1.3,Minimal Change,0,0,1,0,El Niño,Moderate,Moderate El Niño,Nominal,Large,4,1,2,0,0,2,1
69,ALPO-1996,58377.0,0.001670981252447349,-2382.0,-0.03920406853305683,National Historic Site,1284.27,Northeast,0.31079999999999997,-0.9,Minimal Change,0,0,0,0,La Niña,Weak,Weak La Niña,Increased,Large,4,1,2,1,4,1,1
70,ALPO-1997,54226.0,0.0015521631703446555,-4151.0,-0.0711067715024753,National Historic Site,1284.27,Northeast,0.059000000000000004,-0.2,Minimal Change,0,0,0,0,Neutral,Neutral,Neutral,Nominal,Large,4,1,2,2,1,2,1
71,ALPO-1998,50194.0,0.0014367513401740794,-4032.0,-0.07435547523328292,National Historic Site,1284.27,Northeast,0.4708,2.2,Minimal Change,0,0,0,0,El Niño,Very Strong,Very Strong El Niño,Extreme,Large,4,1,2,0,3,0,1
72,ALPO-1999,50401.0,0.0014426765010980152,207.0,0.004123998884328804,National Historic Site,1284.27,Northeast,0.365,-1.5,Minimal Change,0,0,1,0,La Niña,Strong,Strong La Niña,Increased,Large,4,1,2,1,2,1,1
73,ALPO-2000,57657.0,0.0016503719970597463,7256.0,0.14396539751195414,National Historic Site,1284.27,Northeast,0.1158,-1.7,Increase,1,1,1,0,La Niña,Strong,Strong La Niña,Nominal,Large,4,1,1,1,2,2,1
74,ALPO-2001,62595.0,0.0017917171402597224,4938.0,0.08564441438160154,National Historic Site,1284.27,Northeast,0.21960000000000002,-0.6,Minimal Change,0,0,1,0,La Niña,Weak,Weak La Niña,Increased,Large,4,1,2,1,4,1,1
75,ALPO-2002,64916.0,0.0018581533649189256,2321.0,0.03707963894879783,National Historic Site,1284.27,Northeast,0.155,-0.1,Minimal Change,0,0,1,0,Neutral,Neutral,Neutral,Nominal,Large,4,1,2,2,1,2,1
76,ALPO-2003,58636.0,0.001678394859593723,-6280.0,-0.09674040298231561,National Historic Site,1284.27,Northeast,0.3132,0.9,Minimal Change,0,0,0,0,El Niño,Weak,Weak El Niño,Increased,Large,4,1,2,0,4,1,1
77,ALPO-2004,57608.0,0.0016489694227347566,-1028.0,-0.01753189167064602,National Historic Site,1284.27,Northeast,0.2168,0.3,Minimal Change,0,0,0,0,Neutral,Neutral,Neutral,Increased,Large,4,1,2,2,1,1,1
78,ALPO-2005,53890.0,0.0015425455178304408,-3718.0,-0.06453964727121234,National Historic Site,1284.27,Northeast,0.2868,0.6,Minimal Change,0,0,0,0,El Niño,Weak,Weak El Niño,Increased,Large,4,1,2,0,4,1,1
79,ALPO-2006,56361.0,0.0016132753373620612,2471.0,0.045852662831694195,National Historic Site,1284.27,Northeast,0.637,-0.9,Minimal Change,0,0,1,0,La Niña,Weak,Weak La Niña,Extreme,Large,4,1,2,1,4,0,1
80,ALPO-2007,56709.0,0.0016232364774660692,348.0,0.006174482354819822,National Historic Site,1284.27,Northeast,0.10679999999999999,0.6,Minimal Change,0,0,1,0,El Niño,Weak,Weak El Niño,Nominal,Large,4,1,2,0,4,2,1
81,ALPO-2008,53158.0,0.0015215927748530446,-3551.0,-0.06261792660776949,National Historic Site,1284.27,Northeast,0.2352,-1.6,Minimal Change,0,0,0,0,La Niña,Strong,Strong La Niña,Increased,Large,4,1,2,1,2,1,1
82,ALPO-2009,55631.0,0.0015923798423162971,2473.0,0.046521690056059294,National Historic Site,1284.27,Northeast,0.1592,-0.9,Minimal Change,0,0,1,0,La Niña,Weak,Weak La Niña,Nominal,Large,4,1,2,1,4,2,1
83,ALPO-2010,50890.0,0.0014566736203820956,-4741.0,-0.08522226815983894,National Historic Site,1284.27,Northeast,0.33880000000000005,1.5,Minimal Change,0,0,0,0,El Niño,Strong,Strong El Niño,Increased,Large,4,1,2,0,2,1,1
84,ALPO-2011,55560.0,0.0015903475407433529,4670.0,0.09176655531538613,National Historic Site,1284.27,Northeast,0.6314,-1.4,Minimal Change,0,0,1,0,La Niña,Moderate,Moderate La Niña,Extreme,Large,4,1,2,1,0,0,1
85,ALPO-2012,67517.0,0.0019326043000066407,11957.0,0.21520878329733623,National Historic Site,1284.27,Northeast,0.47479999999999994,-0.8,Increase,1,1,1,0,La Niña,Weak,Weak La Niña,Extreme,Large,4,1,1,1,4,0,1
86,ALPO-2013,68766.0,0.0019683556333109685,1249.0,0.018499044685042286,National Historic Site,1284.27,Northeast,0.1646,-0.6,Minimal Change,0,0,1,0,La Niña,Weak,Weak La Niña,Nominal,Large,4,1,2,1,4,2,1
87,ALPO-2014,80785.0,0.0023123870784548554,12019.0,0.17478114184335283,National Historic Site,1284.27,Northeast,0.1074,-0.5,Increase,1,1,1,0,La Niña,Weak,Weak La Niña,Nominal,Large,4,1,1,1,4,2,1
88,ALPO-2015,79091.0,0.0022638980803623564,-1694.0,-0.020969239338986197,National Historic Site,1284.27,Northeast,0.18,0.5,Minimal Change,0,0,0,0,El Niño,Weak,Weak El Niño,Nominal,Large,4,1,2,0,4,2,1
89,ALPO-2016,87831.0,0.0025140715415952024,8740.0,0.11050562010848264,National Historic Site,1284.27,Northeast,0.3778,2.2,Increase,1,1,1,0,El Niño,Very Strong,Very Strong El Niño,Increased,Large,4,1,1,0,3,1,1
90,ALPO-2017,92475.0,0.0026470012388452404,4644.0,0.05287426990470335,National Historic Site,1284.27,Northeast,0.299,-0.7,Minimal Change,0,0,1,0,La Niña,Weak,Weak La Niña,Increased,Large,4,1,2,1,4,1,1
91,ALPO-2018,87547.0,0.0025059423353034254,-4928.0,-0.05329007839956745,National Historic Site,1284.27,Northeast,0.3496,-1.1,Minimal Change,0,0,0,0,La Niña,Moderate,Moderate La Niña,Increased,Large,4,1,2,1,0,1,1
92,ALPO-2019,87678.0,0.0025096920748253365,131.0,0.0014963391092784448,National Historic Site,1284.27,Northeast,0.3968,0.6,Minimal Change,0,0,1,0,El Niño,Weak,Weak El Niño,Increased,Large,4,1,2,0,4,1,1
93,ALPO-2020,65242.0,0.001867484777774979,-22436.0,-0.25589087342320765,National Historic Site,1284.27,Northeast,0.4376,0.1,Decrease,-1,1,0,0,Neutral,Neutral,Neutral,Extreme,Large,4,1,0,2,1,0,1
94,ALPO-2021,87303.0,0.002498958087644293,22061.0,0.3381410747677876,National Historic Site,1284.27,Northeast,0.547,-1.2,Increase,1,1,1,0,La Niña,Moderate,Moderate La Niña,Extreme,Large,4,1,1,1,0,0,1
95,ALPO-2022,82618.0,0.0023648548077957942,-4685.0,-0.05366367707868,National Historic Site,1284.27,Northeast,0.2064,-1.2,Minimal Change,0,0,0,0,La Niña,Moderate,Moderate La Niña,Increased,Large,4,1,2,1,0,1,1
96,ALPO-2023,91350.0,0.002614799277302111,8732.0,0.10569125372194921,National Historic Site,1284.27,Northeast,0.6038,-0.8,Increase,1,1,1,0,La Niña,Weak,Weak La Niña,Extreme,Large,4,1,1,1,4,0,1
97,ALPO-2024,88888.0,0.002544327073462836,-2462.0,-0.02695128626163109,National Historic Site,1284.27,Northeast,0.5454,1.2,Minimal Change,0,0,0,0,El Niño,Moderate,Moderate El Niño,Extreme,Large,4,1,2,0,0,0,1
98,ALPO-2025,76883.0,0.0022006963638403743,-12005.0,-0.13505760057600577,National Historic Site,1284.27,Northeast,0.1524,-1.1,Decrease,-1,1,0,0,La Niña,Moderate,Moderate La Niña,Nominal,Large,4,1,0,1,0,2,1
99,AMCH-2025,3744.0,0.00010716812801553479,1428.0,0.616580310880829,National Historic Site,472.59,Southwest,0.5256000000000001,-1.1,Increase,1,1,1,0,La Niña,Moderate,Moderate La Niña,Extreme,Medium,4,7,1,1,0,0,2
100,AMIS-1992,889687.0,0.025466370275041963,167955.0,0.2327110340126252,National Recreation Area,62945.15,South,0.22399999999999998,2.3,Increase,1,1,1,0,El Niño,Very Strong,Very Strong El Niño,Increased,Very Large,17,5,1,0,3,1,5
101,AMIS-1993,834304.0,0.023881089176248062,-55383.0,-0.06224998229714495,National Recreation Area,62945.15,South,0.2568,0.5,Minimal Change,0,0,0,0,El Niño,Weak,Weak El Niño,Increased,Very Large,17,5,2,0,4,1,5
102,AMIS-1994,884909.0,0.025329604966372564,50605.0,0.0606553486498926,National Recreation Area,62945.15,South,0.0712,0.3,Minimal Change,0,0,1,0,Neutral,Neutral,Neutral,Nominal,Very Large,17,5,2,2,1,2,5
103,AMIS-1995,808727.0,0.023148974002569288,-76182.0,-0.08609020814569633,National Recreation Area,62945.15,South,0.10859999999999999,1.3,Minimal Change,0,0,0,0,El Niño,Moderate,Moderate El Niño,Nominal,Very Large,17,5,2,0,0,2,5
104,AMIS-1996,671547.0,0.019222338371914623,-137180.0,-0.16962460756225525,National Recreation Area,62945.15,South,0.14300000000000002,-0.9,Decrease,-1,1,0,0,La Niña,Weak,Weak La Niña,Nominal,Very Large,17,5,0,1,4,2,5
105,AMIS-1997,586486.0,0.016787555215630058,-85061.0,-0.126664254326205,National Recreation Area,62945.15,South,0.1998,-0.2,Decrease,-1,1,0,0,Neutral,Neutral,Neutral,Nominal,Very Large,17,5,0,2,1,2,5
106,AMIS-1998,613979.0,0.01757451390781251,27493.0,0.04687750432235382,National Recreation Area,62945.15,South,0.3478,2.2,Minimal Change,0,0,1,0,El Niño,Very Strong,Very Strong El Niño,Increased,Very Large,17,5,2,0,3,1,5
