,Code_Year,Visitors,Visitors Scaled,vis_annual_chg,vis_annual_chg_pct,Designation,Gross Area Acres,Region,cei_pct_area,RONI,Visitor Trend Cat,Visitor Trend Bins,Visitor Trend Chg,Visitor Trend UpDn,Visitor Trend SigChg,RONI Event,RONI Intensity,RONI Desc,CEI Cat,GAA Cat,Desig Code,Region Code,Vis Trend Code,RONI Event Code,RONI Int Code,CEI Cat Code,GAA Cat Code
77,ACAD-2011,2374645.0,0.10909292964783304,-129563.0,-0.051738114405832106,National Park,49076.65,Northeast,0.6314,-1.4,Minimal Change,0,0,0,0,La Niña,Moderate,Moderate La Niña,Extreme,Very Large,16,1,2,1,0,0,5
78,ACAD-2012,2431052.0,0.11168430852031518,56407.0,0.023753866367393864,National Park,49076.65,Northeast,0.47479999999999994,-0.8,Minimal Change,0,0,1,0,La Niña,Weak,Weak La Niña,Extreme,Very Large,16,1,2,1,4,0,5
79,ACAD-2013,2254922.0,0.10359276738516747,-176130.0,-0.07245011624597088,National Park,49076.65,Northeast,0.1646,-0.6,Minimal Change,0,0,0,0,La Niña,Weak,Weak La Niña,Nominal,Very Large,16,1,2,1,4,2,5
80,ACAD-2014,2563129.0,0.11775202258666903,308207.0,0.13668188966181535,National Park,49076.65,Northeast,0.1074,-0.5,Increase,1,1,1,0,La Niña,Weak,Weak La Niña,Nominal,Very Large,16,1,1,1,4,2,5
81,ACAD-2015,2811184.0,0.12914785087417863,248055.0,0.09677819571313032,National Park,49076.65,Northeast,0.18,0.5,Minimal Change,0,0,1,0,El Niño,Weak,Weak El Niño,Nominal,Very Large,16,1,2,0,4,2,5
82,ACAD-2016,3303393.0,0.1517602926534889,492209.0,0.17508957080006146,National Park,49076.65,Northeast,0.3778,2.2,Increase,1,1,1,0,El Niño,Very Strong,Very Strong El Niño,Increased,Very Large,16,1,1,0,3,1,5
83,ACAD-2017,3509271.0,0.16121847868552172,205878.0,0.06232319315322155,National Park,49076.65,Northeast,0.299,-0.7,Minimal Change,0,0,1,0,La Niña,Weak,Weak La Niña,Increased,Very Large,16,1,2,1,4,1,5
84,ACAD-2018,3537575.0,0.16251878516533336,28304.0,0.008065492804630934,National Park,49076.65,Northeast,0.3496,-1.1,Minimal Change,0,0,1,0,La Niña,Moderate,Moderate La Niña,Increased,Very Large,16,1,2,1,0,1,5
85,ACAD-2019,3437286.0,0.1579114350892371,-100289.0,-0.02834964629725165,National Park,49076.65,Northeast,0.3968,0.6,Minimal Change,0,0,0,0,El Niño,Weak,Weak El Niño,Increased,Very Large,16,1,2,0,4,1,5
86,ACAD-2020,2669034.0,0.12261737581393195,-768252.0,-0.2235054051364943,National Park,49076.65,Northeast,0.4376,0.1,Decrease,-1,1,0,0,Neutral,Neutral,Neutral,Extreme,Very Large,16,1,0,2,1,0,5
87,ACAD-2021,4069098.0,0.18693734088427455,1400064.0,0.5245583233484474,National Park,49076.65,Northeast,0.547,-1.2,Increase,1,1,1,0,La Niña,Moderate,Moderate La Niña,Extreme,Very Large,16,1,1,1,0,0,5
88,ACAD-2022,3970260.0,0.18239665081037615,-98838.0,-0.02428990405244602,National Park,49076.65,Northeast,0.2064,-1.2,Minimal Change,0,0,0,0,La Niña,Moderate,Moderate La Niña,Increased,Very Large,16,1,2,1,0,1,5
89,ACAD-2023,3879890.0,0.17824498685543774,-90370.0,-0.0227617334884869,National Park,49076.65,Northeast,0.6038,-0.8,Minimal Change,0,0,0,0,La Niña,Weak,Weak La Niña,Extreme,Very Large,16,1,2,1,4,0,5
90,ACAD-2024,3961661.0,0.18200160645551816,81771.0,0.02107559750405295,National Park,49076.65,Northeast,0.5454,1.2,Minimal Change,0,0,1,0,El Niño,Moderate,Moderate El Niño,Extreme,Very Large,16,1,2,0,0,0,5
91,ACAD-2025,4079318.0,0.18740685516577804,117657.0,0.029698906594986293,National Park,49076.65,Northeast,0.1524,-1.1,Minimal Change,0,0,1,0,La Niña,Moderate,Moderate La Niña,Nominal,Very Large,16,1,2,1,0,2,5
92,ADAM-1980,24974.0,0.0011473238421006013,-9348.0,-0.27236175048074124,National Historical Park,23.82,Northeast,0.10619999999999999,0.6,Decrease,-1,1,0,0,El Niño,Weak,Weak El Niño,Nominal,Small,8,1,0,0,4,2,3
93,ADAM-1981,27055.0,0.0012429265054869772,2081.0,0.08332665972611517,National Historical Park,23.82,Northeast,0.068,0.0,Minimal Change,0,0,1,0,Neutral,Neutral,Neutral,Nominal,Small,8,1,2,2,1,2,3
94,ADAM-1982,25440.0,0.0011687322232337351,-1615.0,-0.05969321751986694,National Historical Park,23.82,Northeast,0.06480000000000001,0.1,Minimal Change,0,0,0,0,Neutral,Neutral,Neutral,Nominal,Small,8,1,2,2,1,2,3
