,Att Chg,Visitors Scaled,Area Scaled,cei_pct_area,RONI,Region_Northeast,Region_Northern Rockies and Plains,Region_Northwest,Region_Ohio Valley,Region_South,Region_Southeast,Region_Southwest,Region_West
102,1,0.04707983113993861,0.05225530245855514,0.3998,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
103,0,0.037583292897382964,0.05225530245855514,0.2332,0.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
104,0,0.03644446542349438,0.05225530245855514,0.2158,2.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
105,0,0.02471805928936558,0.05225530245855514,0.0286,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
106,1,0.031986715899407894,0.05225530245855514,0.15380000000000002,0.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
107,0,0.02608869487941246,0.05225530245855514,0.12619999999999998,1.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
108,0,0.02406154225070959,0.05225530245855514,0.1568,-0.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
109,0,0.023935823736099544,0.05225530245855514,0.0676,-0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
110,0,0.023586709496643397,0.05225530245855514,0.4384,2.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
111,0,0.023211773889409537,0.05225530245855514,0.201,-1.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
112,0,0.022942811044955703,0.05225530245855514,0.1998,-1.7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
113,0,0.022248671922931278,0.05225530245855514,0.133,-0.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
114,0,0.020706049666057276,0.05225530245855514,0.1782,-0.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
115,0,0.0181136310766821,0.05225530245855514,0.2336,0.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
116,0,0.017812420732198183,0.05225530245855514,0.1168,0.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
117,0,0.015986698139915125,0.05225530245855514,0.0492,0.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
118,1,0.017035559762270495,0.05225530245855514,0.20559999999999998,-0.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
119,1,0.017438770351414796,0.05225530245855514,0.4142,0.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
120,1,0.02088469614267322,0.05225530245855514,0.0894,-1.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
121,1,0.021666931695939258,0.05225530245855514,0.1226,-0.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
122,1,0.02526287846559852,0.05225530245855514,0.16519999999999999,1.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
123,1,0.030251543352499174,0.05225530245855514,0.2632,-1.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
124,1,0.037466454129158014,0.05225530245855514,0.3148,-0.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
125,0,0.03711500311433737,0.05225530245855514,0.3456,-0.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
126,0,0.03257184445067844,0.05225530245855514,0.1352,-0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
127,1,0.048212349320343045,0.05225530245855514,0.327,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
128,0,0.03541838736094288,0.05225530245855514,0.41659999999999997,2.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
129,0,0.013314946026915212,0.05225530245855514,0.4192,-0.7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
130,0,0.012039534032971666,0.05225530245855514,0.46740000000000004,-1.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
131,0,0.011963939349930125,0.05225530245855514,0.43560000000000004,0.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
132,0,0.006719748076921504,0.05225530245855514,0.5197999999999999,0.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
133,1,0.010825111876041545,0.05225530245855514,0.2394,-1.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
134,0,0.009754050887723435,0.05225530245855514,0.1716,-1.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
135,1,0.010744843642271004,0.05225530245855514,0.36060000000000003,-0.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
136,0,0.009787466775435771,0.05225530245855514,0.5506,1.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
137,0,0.009054537182360664,0.05225530245855514,0.1476,-1.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
138,1,0.23766290683405145,0.001290334359142278,0.10619999999999999,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,0,0.20495179057164886,0.001290334359142278,0.068,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,0,0.19899067661681194,0.001290334359142278,0.06480000000000001,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,1,0.2439896092946642,0.001290334359142278,0.065,2.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,0,0.17307782408357805,0.001290334359142278,0.0318,-0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,1,0.18233005246177533,0.001290334359142278,0.1192,-0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,1,0.19189213725330517,0.001290334359142278,0.0622,-0.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,1,0.2593800792003274,0.001290334359142278,0.053,1.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,0,0.2551553061800815,0.001290334359142278,0.0602,0.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,0,0.24946852965303676,0.001290334359142278,0.1298,-1.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,0,0.24570526976727938,0.001290334359142278,0.3194,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,0,0.23608009204090805,0.001290334359142278,0.2724,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,1,0.24256709729152545,0.001290334359142278,0.1628,2.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,0,0.23720571673398722,0.001290334359142278,0.021,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,0,0.22450686153192217,0.001290334359142278,0.1168,0.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153,0,0.21492468047225763,0.001290334359142278,0.064,1.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,1,0.26412163009243234,0.001290334359142278,0.31079999999999997,-0.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,1,0.316374731373067,0.001290334359142278,0.059000000000000004,-0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,0,0.31513717514002837,0.001290334359142278,0.4708,2.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,0,0.27223561519058215,0.001290334359142278,0.365,-1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
