,Park_Code,Designation,Region,Gross Area Acres,Year,Percentage Area
294,ADAM,National Historical Park,Northeast,23.82,1972,0.3762
295,ADAM,National Historical Park,Northeast,23.82,1973,0.24719999999999998
296,ADAM,National Historical Park,Northeast,23.82,1974,0.0974
297,ADAM,National Historical Park,Northeast,23.82,1975,0.1448
298,ADAM,National Historical Park,Northeast,23.82,1976,0.2434
299,ADAM,National Historical Park,Northeast,23.82,1977,0.1834
300,ADAM,National Historical Park,Northeast,23.82,1978,0.26899999999999996
301,ADAM,National Historical Park,Northeast,23.82,1979,0.19399999999999998
302,ADAM,National Historical Park,Northeast,23.82,1980,0.10619999999999999
303,ADAM,National Historical Park,Northeast,23.82,1981,0.068
304,ADAM,National Historical Park,Northeast,23.82,1982,0.06480000000000001
305,ADAM,National Historical Park,Northeast,23.82,1983,0.065
306,ADAM,National Historical Park,Northeast,23.82,1984,0.0318
307,ADAM,National Historical Park,Northeast,23.82,1985,0.1192
308,ADAM,National Historical Park,Northeast,23.82,1986,0.0622
309,ADAM,National Historical Park,Northeast,23.82,1987,0.053
310,ADAM,National Historical Park,Northeast,23.82,1988,0.0602
311,ADAM,National Historical Park,Northeast,23.82,1989,0.1298
312,ADAM,National Historical Park,Northeast,23.82,1990,0.3194
313,ADAM,National Historical Park,Northeast,23.82,1991,0.2724
314,ADAM,National Historical Park,Northeast,23.82,1992,0.1628
315,ADAM,National Historical Park,Northeast,23.82,1993,0.021
316,ADAM,National Historical Park,Northeast,23.82,1994,0.1168
317,ADAM,National Historical Park,Northeast,23.82,1995,0.064
318,ADAM,National Historical Park,Northeast,23.82,1996,0.31079999999999997
319,ADAM,National Historical Park,Northeast,23.82,1997,0.059000000000000004
320,ADAM,National Historical Park,Northeast,23.82,1998,0.4708
321,ADAM,National Historical Park,Northeast,23.82,1999,0.365
322,ADAM,National Historical Park,Northeast,23.82,2000,0.1158
323,ADAM,National Historical Park,Northeast,23.82,2001,0.21960000000000002
324,ADAM,National Historical Park,Northeast,23.82,2002,0.155
325,ADAM,National Historical Park,Northeast,23.82,2003,0.3132
326,ADAM,National Historical Park,Northeast,23.82,2004,0.2168
327,ADAM,National Historical Park,Northeast,23.82,2005,0.2868
328,ADAM,National Historical Park,Northeast,23.82,2006,0.637
329,ADAM,National Historical Park,Northeast,23.82,2007,0.10679999999999999
330,ADAM,National Historical Park,Northeast,23.82,2008,0.2352
331,ADAM,National Historical Park,Northeast,23.82,2009,0.1592
332,ADAM,National Historical Park,Northeast,23.82,2010,0.33880000000000005
333,ADAM,National Historical Park,Northeast,23.82,2011,0.6314
334,ADAM,National Historical Park,Northeast,23.82,2012,0.47479999999999994
335,ADAM,National Historical Park,Northeast,23.82,2013,0.1646
336,ADAM,National Historical Park,Northeast,23.82,2014,0.1074
337,ADAM,National Historical Park,Northeast,23.82,2015,0.18
338,ADAM,National Historical Park,Northeast,23.82,2016,0.3778
339,ADAM,National Historical Park,Northeast,23.82,2017,0.299
340,ADAM,National Historical Park,Northeast,23.82,2018,0.3496
341,ADAM,National Historical Park,Northeast,23.82,2019,0.3968
342,ADAM,National Historical Park,Northeast,23.82,2020,0.4376
343,ADAM,National Historical Park,Northeast,23.82,2021,0.547
344,ADAM,National Historical Park,Northeast,23.82,2022,0.2064
345,ADAM,National Historical Park,Northeast,23.82,2023,0.6038
346,ADAM,National Historical Park,Northeast,23.82,2024,0.5454
347,ADAM,National Historical Park,Northeast,23.82,2025,0.1524
348,AFBG,National Monument,Northeast,0.35,1910,0.21239999999999998
349,AFBG,National Monument,Northeast,0.35,1911,0.26039999999999996
350,AFBG,National Monument,Northeast,0.35,1912,0.2566
351,AFBG,National Monument,Northeast,0.35,1913,0.2336
352,AFBG,National Monument,Northeast,0.35,1914,0.43439999999999995
353,AFBG,National Monument,Northeast,0.35,1915,0.196
354,AFBG,National Monument,Northeast,0.35,1916,0.23379999999999998
355,AFBG,National Monument,Northeast,0.35,1917,0.44520000000000004
356,AFBG,National Monument,Northeast,0.35,1918,0.30879999999999996
357,AFBG,National Monument,Northeast,0.35,1919,0.0316
358,AFBG,National Monument,Northeast,0.35,1920,0.19879999999999998
359,AFBG,National Monument,Northeast,0.35,1921,0.24480000000000002
360,AFBG,National Monument,Northeast,0.35,1922,0.1246
361,AFBG,National Monument,Northeast,0.35,1923,0.2594
362,AFBG,National Monument,Northeast,0.35,1924,0.575
363,AFBG,National Monument,Northeast,0.35,1925,0.1192
364,AFBG,National Monument,Northeast,0.35,1926,0.3848
365,AFBG,National Monument,Northeast,0.35,1927,0.07
366,AFBG,National Monument,Northeast,0.35,1928,0.121
367,AFBG,National Monument,Northeast,0.35,1929,0.0594
368,AFBG,National Monument,Northeast,0.35,1930,0.1618
369,AFBG,National Monument,Northeast,0.35,1931,0.1788
