,cei_pct_area,RONI,Gross Area Acres,Desig_NatlPark,Region_Multiple,Region_Northeast,Region_Northern Rockies and Plains,Region_Northwest,Region_Ohio Valley,Region_South,Region_Southeast,Region_Southwest,Region_Upper Midwest,Region_West
16690,0.1168,0.3,211.65,0,False,True,False,False,False,False,False,False,False,False
7048,0.1018,0.6,23777.22,1,False,False,True,False,False,False,False,False,False,False
13508,0.42200000000000004,0.1,5.0,0,False,False,False,False,False,False,False,False,False,True
594,0.2158,2.3,1774.6,0,False,False,False,False,False,False,True,False,False,False
8007,0.11939999999999999,-0.2,210.45,0,False,False,True,False,False,False,False,False,False,False
5994,0.1524,-1.1,7.21,0,False,True,False,False,False,False,False,False,False,False
13955,0.4192,-0.7,1754.7,0,False,False,False,False,False,False,True,False,False,False
16208,0.15380000000000002,0.3,138.39,0,False,False,False,False,False,False,True,False,False,False
17490,0.20559999999999998,-0.9,130.28,0,False,False,False,False,False,False,True,False,False,False
4308,0.491,0.9,1278.72,0,False,False,False,False,False,False,False,True,False,False
3572,0.1476,-1.1,36346.83,0,False,False,False,False,False,False,True,False,False,False
7503,0.24359999999999998,0.1,86367.1,1,False,False,False,False,False,True,False,False,False,False
14634,0.21960000000000002,-0.6,6.13,0,False,True,False,False,False,False,False,False,False,False
12756,0.3034,0.0,80784.3,0,False,False,False,False,False,False,True,False,False,False
15609,0.021,0.5,58.38,0,False,True,False,False,False,False,False,False,False,False
4190,0.1226,-0.6,2526.39,0,False,False,False,False,False,False,False,False,True,False
7805,0.0017579999999999998,-1.2,3666.21,0,True,False,False,False,False,False,False,False,False,False
261,0.1628,2.3,1284.27,0,False,True,False,False,False,False,False,False,False,False
11874,0.3968,0.6,34.0,0,False,True,False,False,False,False,False,False,False,False
4075,0.15380000000000002,0.3,64701.22,1,False,False,False,False,False,False,True,False,False,False
402,0.1642,0.3,16.68,0,False,False,False,False,True,False,False,False,False,False
7413,0.1716,-1.2,522426.88,1,False,False,False,False,False,False,True,False,False,False
5629,0.0894,-1.6,232.52,0,False,False,False,False,False,False,True,False,False,False
11785,0.491,0.9,7636.49,0,False,False,False,False,False,False,False,True,False,False
11764,0.15839999999999999,0.1,7636.49,0,False,False,False,False,False,False,False,True,False,False
10301,0.4722,2.2,106589.02,1,False,False,False,False,False,False,False,False,False,True
2844,0.0017360000000000001,-0.6,19630.99,0,True,False,False,False,False,False,False,False,False,False
4401,0.6437999999999999,0.5,13.19,0,False,False,False,False,False,False,False,False,False,True
8655,0.1018,0.6,23777.22,1,False,False,True,False,False,False,False,False,False,False
13865,0.1562,1.6,13123.39,0,False,False,False,False,False,True,False,False,False,False
17774,0.002228,-1.5,2219790.71,1,True,False,False,False,False,False,False,False,False,False
17103,0.027999999999999997,1.6,42503.25,0,False,False,False,False,False,False,False,False,False,True
15663,0.33880000000000005,1.5,62.48,0,False,True,False,False,False,False,False,False,False,False
6485,0.00165,0.7,6719.21,0,True,False,False,False,False,False,False,False,False,False
15291,0.2982,0.6,404062.63,1,False,False,False,False,False,False,False,False,False,True
13445,0.46740000000000004,-1.1,4620.06,0,False,False,False,False,False,False,True,False,False,False
14091,0.1592,0.5,117574.59,1,False,False,False,True,False,False,False,False,False,False
14190,0.1362,0.3,117574.59,1,False,False,False,True,False,False,False,False,False,False
16504,0.2488,-0.5,811.89,0,False,False,False,False,False,False,False,True,False,False
13626,0.1716,-1.2,16062.92,0,False,False,False,False,False,False,True,False,False,False
7798,0.00395,0.5,3666.21,0,True,False,False,False,False,False,False,False,False,False
