,Park_Code,Visitors,Designation,Gross Area Acres,State List,State Count,CEI Region
155,GEWA,122093.63829787234,National Monument,654.19,VA,1,Southeast
156,GICL,45193.936170212764,National Monument,533.13,NM,1,Southwest
157,GLAC,2117870.787234043,National Park,1013126.39,MT,1,Northern Rockies and Plains
158,GLBA,342711.44680851063,National Park & Preserve,58406.0,AK,1,OCONUS
159,GLBA,342711.44680851063,National Park & Preserve,3223383.43,AK,1,OCONUS
160,GLCA,2677893.7021276597,National Recreation Area,1254116.62,"AZ,UT",2,Southwest
161,GOGA,15472769.021276595,National Recreation Area,82347.82,CA,1,West
162,GOIS,153554.4,National Monument,22.91,NY,1,Northeast
163,GOSP,50255.1914893617,National Historical Park,2735.28,UT,1,Southwest
164,GRBA,88409.31914893616,National Park,77180.0,NV,1,West
165,GRCA,4167637.5531914895,National Park,1201647.03,AZ,1,Southwest
166,GREE,209626.02127659574,Park,1175.98,MD,1,Southeast
167,GRKO,23334.893617021276,National Historic Site,1618.43,MT,1,Northern Rockies and Plains
168,GRPO,72178.85106382979,National Monument,709.97,MN,1,Upper Midwest
169,GRSA,301826.21276595746,National Park & Preserve,41686.0,CO,1,Southwest
170,GRSA,301826.21276595746,National Park & Preserve,107336.95,CO,1,Southwest
171,GRSM,9858940.89361702,National Park,522426.88,"NC,TN",2,Southeast
172,GRTE,1913983.574468085,National Park,310044.36,WY,1,Northern Rockies and Plains
173,GRTE,1913983.574468085,National Park,23777.22,WY,1,Northern Rockies and Plains
174,GRTE,1913983.574468085,National Park,310044.36,WY,1,Northern Rockies and Plains
175,GRTE,1913983.574468085,National Park,23777.22,WY,1,Northern Rockies and Plains
176,GUCO,348221.10638297873,National Military Park,254.9,NC,1,Southeast
177,GUIS,4698963.489361702,National Seashore,138306.64,"FL,MS",2,Multiple
178,GUMO,182789.74468085106,National Park,86367.1,TX,1,South
179,GWCA,48918.89361702128,National Monument,240.0,MO,1,Ohio Valley
180,GWMP,7104075.723404256,Memorial Parkway,6719.21,"DC,MD,VA",3,Multiple
181,HAFE,410057.08510638296,National Historical Park,3666.21,"WV,VA,MD",3,Multiple
182,HAFO,16787.025,National Monument,4351.15,ID,1,Northwest
183,HAGR,25604.17021276596,National Memorial,1.75,NY,1,Northeast
184,HALE,1172331.0,National Park,33489.24,HI,1,OCONUS
185,HAMP,33929.063829787236,National Historic Site,62.04,MD,1,Southeast
186,HART,47.05,National Historical Park,31.5,NY,1,Northeast
187,HATU,2237.0,National Historical Park,480.0,MD,1,Southeast
188,HAVO,1421612.9787234042,National Park,344812.18,HI,1,OCONUS
189,HEHO,186604.87234042553,National Historic Site,186.8,IA,1,Upper Midwest
190,HOBE,74318.91489361702,National Military Park,2040.0,AL,1,Southeast
191,HOCU,42032.68085106383,National Historical Park,1775.78,OH,1,Ohio Valley
