,Traffic Trend Bins,Region Code,Desig Code,GAA Cat Code,RONI Event Code,RONI Int Code,CEI Cat Code
6183,0,1,4,2,0,4,2
6184,0,1,4,2,1,2,1
6185,0,1,4,2,1,4,2
6186,0,1,4,2,0,2,1
6187,0,1,4,2,1,0,0
6188,1,1,4,2,1,4,0
6189,-1,1,4,2,1,4,2
6190,0,1,4,2,1,4,2
6191,0,1,4,2,0,4,2
6192,-1,1,4,2,0,3,1
6193,0,1,4,2,1,4,1
6194,0,1,4,2,1,0,1
6195,0,1,4,2,0,4,1
6196,-1,1,4,2,2,1,0
6197,1,1,4,2,1,0,0
6198,0,1,4,2,1,0,1
6199,0,1,4,2,1,4,0
6200,1,1,4,2,0,0,0
6201,-1,1,4,2,1,0,2
6202,0,5,9,1,0,3,1
6203,0,5,9,1,0,4,1
6204,-1,5,9,1,2,1,2
6205,1,5,9,1,0,0,2
6206,0,5,9,1,1,4,2
6207,0,5,9,1,2,1,2
6208,0,5,9,1,0,3,1
6209,0,5,9,1,1,2,1
6210,0,5,9,1,1,2,2
6211,0,5,9,1,1,4,2
6212,0,5,9,1,2,1,2
6213,0,5,9,1,0,4,2
6214,0,5,9,1,2,1,2
6215,-1,5,9,1,0,4,2
6216,0,5,9,1,1,4,1
6217,0,5,9,1,0,4,1
6218,-1,5,9,1,1,2,2
6219,0,5,9,1,1,4,2
6220,0,5,9,1,0,2,2
6221,1,5,9,1,1,0,1
6222,-1,5,9,1,1,4,0
6223,0,5,9,1,1,4,2
6224,0,5,9,1,1,4,2
6225,0,5,9,1,0,4,1
6226,0,5,9,1,0,3,0
6227,0,5,9,1,1,4,1
6228,0,5,9,1,1,0,2
6229,1,5,9,1,0,4,1
6230,-1,5,9,1,2,1,1
6231,1,5,9,1,1,0,2
6232,0,5,9,1,1,0,1
6233,-1,5,9,1,1,4,0
6234,1,5,9,1,0,0,0
6235,0,5,9,1,1,0,1
6236,10,5,4,2,1,4,2
6237,10,5,4,2,0,2,2
6238,-1,5,4,2,1,0,1
6239,-1,5,4,2,1,4,0
6240,-1,5,4,2,1,4,2
6241,10,5,4,2,1,4,2
6242,-1,5,4,2,0,4,1
6243,-1,5,4,2,0,3,0
6244,0,5,4,2,1,4,1
6245,1,5,4,2,1,0,2
6246,-1,5,4,2,0,4,1
6247,10,5,4,2,2,1,1
6248,1,5,4,2,1,0,2
6249,-1,5,4,2,1,0,1
6250,0,5,4,2,1,4,0
6251,0,5,4,2,0,0,0
6252,0,5,4,2,1,0,1
6253,10,7,10,1,0,4,0
6254,0,7,10,1,2,1,2
6255,0,7,10,1,0,4,2
6256,0,7,10,1,1,4,2
6257,0,7,10,1,0,4,1
6258,-1,7,10,1,1,2,2
6259,1,7,10,1,1,4,2
6260,0,7,10,1,0,2,2
6261,0,7,10,1,1,0,2
6262,0,7,10,1,1,4,0
6263,0,7,10,1,1,4,2
6264,0,7,10,1,1,4,1
6265,0,7,10,1,0,4,1
6266,0,7,10,1,0,3,1
6267,0,7,10,1,1,4,0
6268,0,7,10,1,1,0,0
6269,0,7,10,1,0,4,2
6270,-1,7,10,1,2,1,0
6271,1,7,10,1,1,0,0
6272,-1,7,10,1,1,0,2
6273,-1,7,10,1,1,4,2
6274,1,7,10,1,0,0,0
6275,-1,7,10,1,1,0,0
6280,0,9,17,5,0,3,0
6281,0,9,17,5,1,2,2
6282,0,9,17,5,1,2,2
6283,0,9,17,5,1,4,2
6284,0,9,17,5,2,1,2
6285,0,9,17,5,0,4,1
6286,0,9,17,5,2,1,2
6287,0,9,17,5,0,4,1
6288,0,9,17,5,1,4,2
6289,0,9,17,5,0,4,1
6290,-1,9,17,5,1,2,2
6291,1,9,17,5,1,4,2
6292,-1,9,17,5,0,2,2
6293,0,9,17,5,1,0,2
6294,0,9,17,5,1,4,1
6295,0,9,17,5,1,4,1
6296,0,9,17,5,1,4,0
6297,0,9,17,5,0,4,0
6298,0,9,17,5,0,3,1
6299,-1,9,17,5,1,4,0
6300,-1,9,17,5,1,0,1
6301,1,9,17,5,0,4,2
6302,1,9,17,5,2,1,0
6303,0,9,17,5,1,0,0
6304,1,9,17,5,1,0,0
6305,-1,9,17,5,1,4,2
6306,-1,9,17,5,0,0,1
6307,0,9,17,5,1,0,0
6308,-1,3,4,2,0,3,1
6309,0,3,4,2,0,4,2
6310,0,3,4,2,2,1,2
6311,0,3,4,2,0,0,1
6312,0,3,4,2,1,4,0
6313,0,3,4,2,2,1,1
6314,0,3,4,2,0,3,0
6315,0,3,4,2,1,2,2
6316,-1,3,4,2,1,2,2
6317,0,3,4,2,1,4,2
6318,0,3,4,2,2,1,2
6319,0,3,4,2,0,4,1
6320,0,3,4,2,2,1,2
6321,0,3,4,2,0,4,2
6322,0,3,4,2,1,4,1
6323,0,3,4,2,0,4,2
6324,0,3,4,2,1,2,2
6325,0,3,4,2,1,4,2
6326,1,3,4,2,0,2,2
6327,0,3,4,2,1,0,2
6328,0,3,4,2,1,4,1
6329,0,3,4,2,1,4,2
6330,0,3,4,2,1,4,1
6331,-1,3,4,2,0,4,0
6332,1,3,4,2,0,3,1
6333,0,3,4,2,1,4,2
6334,0,3,4,2,1,0,2
6335,0,3,4,2,0,4,2
6336,-1,3,4,2,2,1,1
